ÝL KODU;ÝL ADI;ÝLÇE KODU;ÝLÇE ADI;ETKÝNLÝK DURUMU
1;Adana;1104;Seyhan;ETKÝN
1;Adana;1219;Ceyhan;ETKÝN
1;Adana;1329;Feke;ETKÝN
1;Adana;1437;Karaisalý;ETKÝN
1;Adana;1443;Karataþ;ETKÝN
1;Adana;1486;Kozan;ETKÝN
1;Adana;1580;Pozantý;ETKÝN
1;Adana;1588;Saimbeyli;ETKÝN
1;Adana;1687;Tufanbeyli;ETKÝN
1;Adana;1734;Yumurtalýk;ETKÝN
1;Adana;1748;Yüreðir;ETKÝN
1;Adana;1757;Aladað;ETKÝN
1;Adana;1806;Ýmamoðlu;ETKÝN
1;Adana;2032;Sarýçam;ETKÝN
1;Adana;2033;Çukurova;ETKÝN
2;Adýyaman;1105;Adýyaman Merkez;ETKÝN
2;Adýyaman;1182;Besni;ETKÝN
2;Adýyaman;1246;Çelikhan;ETKÝN
2;Adýyaman;1347;Gerger;ETKÝN
2;Adýyaman;1354;Gölbaþý / Adýyaman;ETKÝN
2;Adýyaman;1425;Kahta;ETKÝN
2;Adýyaman;1592;Samsat;ETKÝN
2;Adýyaman;1985;Sincik;ETKÝN
2;Adýyaman;1989;Tut;ETKÝN
3;Afyonkarahisar;1108;Afyonkarahisar Merkez;ETKÝN
3;Afyonkarahisar;1200;Bolvadin;ETKÝN
3;Afyonkarahisar;1239;Çay;ETKÝN
3;Afyonkarahisar;1267;Dazkýrý;ETKÝN
3;Afyonkarahisar;1281;Dinar;ETKÝN
3;Afyonkarahisar;1306;Emirdað;ETKÝN
3;Afyonkarahisar;1404;Ýhsaniye;ETKÝN
3;Afyonkarahisar;1594;Sandýklý;ETKÝN
3;Afyonkarahisar;1626;Sinanpaþa;ETKÝN
3;Afyonkarahisar;1639;Sultandaðý;ETKÝN
3;Afyonkarahisar;1664;Þuhut;ETKÝN
3;Afyonkarahisar;1771;Baþmakçý;ETKÝN
3;Afyonkarahisar;1773;Bayat / Afyonkarahisar;ETKÝN
3;Afyonkarahisar;1809;Ýscehisar;ETKÝN
3;Afyonkarahisar;1906;Çobanlar;ETKÝN
